"ID","obs_bl_median","year_count","start_year","end_year","obs_count_2024","storage_long_term_mean","storage_long_term_mean_smooth","storage_long_term_median","storage_long_term_sd","storage_2024_mean","storage_2024_mean_smooth","storage_2024_median","storage_2024_sd","storage_anomaly_volume","storage_anomaly_volume_smooth","storage_anomaly_percent","storage_anomaly_percent_smooth","lake_name","country_name","basin_id","basin_name","altimetry","latitude","longitude","HYBAS_ID","Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat"
354,4,32,"1993","2024",5,930.412704325168,935.057229870948,936.322692871094,32.1463993150694,935.392626953125,939.551647949219,941.390869140625,16.8650891265402,4.97992262795708,4.494418078271,0.535238029834195,0.480657005228578,"","Canada","8030016860","Northwest Territories","ICESat2",61.9061088562012,-105.085525512695,8020010700,354,NA,"Canada","North America","CanVec",1,0,120.21,297.66,7.66,883.68,0,3,7.4,10.758,950.7,373,1.42,2416.4,-105.085529,61.906107
356,4,32,"1993","2024",8,1405.65709765204,1417.80726991851,1417.51763916016,62.7928550756731,1374.73722839355,1417.81225585938,1429.89202880859,98.7917560205439,-30.919869258486,0.00498594086752746,-2.19967368358424,0.00035166562997057,"","Canada","8030009560","Mackenzie","ICESat2",61.7935218811035,-107.90625,8020008900,356,NA,"Canada","North America","CanVec",1,0,100.03,229.98,6.49,1414.65,0,3,14.1,9.137,1792,349,2.62,1987.3,-107.90625,61.79352
360,4,32,"1993","2024",7,2730.86088464019,2759.27479931193,2758.84106445312,103.116675740544,2707.9024483817,2696.34978376116,2718.03833007812,92.8015401638044,-22.9584362584983,-62.9250155507657,-0.840703251770483,-2.28049107564267,"","Canada","8030016860","Northwest Territories","ICESat2",61.6145706176758,-105.2861328125,8020010700,360,NA,"Canada","North America","CanVec",1,0,213.74,448.06,8.65,2745.56,0,3,12.8,9.279,3424.7,367,2.02,1989.9,-105.286135,61.61457
380,8,26,"1995","2024",39,230.313640280331,229.175476612764,229.580474853516,7.7128873728553,236.57613666241,237.580985044822,233.630813598633,8.62639803763008,6.26249638207898,8.40550843205747,2.7191165813959,3.6677172253732,"Kagalurpak Lake","","8030000010","Pacific and Arctic Coast","GREALM",60.8738441467285,-164.089477539062,8020000010,380,"Kagalurpak Lake","United States of America","North America","NHD",1,0,111.05,128.28,3.43,217.49,0,3,2,4.13,609.5,12,0.46,283.4,-164.08948,60.873846
380,8,26,"1995","2024",39,230.313640280331,229.175476612764,229.580474853516,7.7128873728553,236.57613666241,237.580985044822,233.630813598633,8.62639803763008,6.26249638207898,8.40550843205747,2.7191165813959,3.6677172253732,"Kagalurpak Lake","","8030000010","Pacific and Arctic Coast","ICESat2",60.8738441467285,-164.089477539062,8020000010,380,"Kagalurpak Lake","United States of America","North America","NHD",1,0,111.05,128.28,3.43,217.49,0,3,2,4.13,609.5,12,0.46,283.4,-164.08948,60.873846
381,4,27,"1995","2024",5,175.723223982186,175.792937881645,175.942474365234,8.73181487980273,188.856353759766,188.856353759766,188.856353759766,0,13.1331297775795,13.0634158781205,7.47375872122108,7.43113803975199,"","","8030000010","Pacific and Arctic Coast","ICESat2",60.860954284668,-163.939468383789,8020000010,381,NA,"United States of America","North America","NHD",1,0,135.02,188.39,4.57,165.33,0,3,1.2,37.314,51.3,12,0.29,3994.4,-163.939472,60.860953
388,3,32,"1993","2024",6,1788.18073223164,1796.49151056463,1794.84020996094,96.7533444928581,1715.81890869141,1715.81890869141,1610.22778320312,163.686768411451,-72.3618235402294,-80.6726018732245,-4.04667281309548,-4.49056404657706,"","Canada","7030024600","Hudson Bay Coast","ICESat2",60.6078453063965,-74.847526550293,7020024600,388,NA,"Canada","North America","CanVec",1,0,100.47,416.94,11.73,1848.59,0,3,18.4,20.278,1055.1,219,3.29,1660.2,-74.847526,60.607847
399,3,27,"1995","2024",10,1060.32956368583,1068.89523037997,1074.60681152344,56.880754605896,1105.04694824219,1114.03751220703,1121.96630859375,33.6412838920986,44.7173845563616,45.1422818270598,4.21730998435231,4.22326534388339,"Dall Lake","United States","8030000010","Pacific and Arctic Coast","ICESat2",60.265209197998,-164.064559936523,8020000010,399,"Dall Lake","United States of America","North America","NHD",1,0,449.21,465.54,6.2,1003.59,0,3,2.2,27.868,416.8,11,0.37,3057.8,-164.064566,60.26521
402,5,28,"1994","2024",6,12793.9363398104,12815.7301766159,12826.103515625,105.40155478364,12804.0397135417,12811.3595377604,12809.3461914062,34.0788155475411,10.1033737313028,-4.37063885550197,0.0789700172249922,-0.0341037053314122,"Tustumena Lake","United States","8030000010","Pacific and Arctic Coast","ICESat2",60.2334785461426,-151.15869140625,8020000010,402,"Tustumena Lake","United States of America","North America","NHD",1,0,295.52,120.55,1.98,12664.72,0,3,42.9,46.52,3151,30,5.35,1780.7,-151.158698,60.23348
437,4,32,"1993","2024",5,2725.52835736956,2736.69132341657,2742.24377441406,68.8785416143922,2662.03608398438,2662.03608398438,2592.38452148438,96.5571088772634,-63.492273385184,-74.6552394321984,-2.32954000326238,-2.72793788592118,"Tadouie","Canada","7030021430","Northwest Territories","ICESat2",58.7139625549316,-98.2406387329102,7020021430,437,"Tadouie","Canada","North America","CanVec",1,0,296.02,561.82,9.21,2839.95,0,3,9.6,116.134,283,243,1.45,16596.5,-98.240637,58.713961
441,5,32,"1993","2024",8,189.263649350121,185.153596423921,181.968521118164,32.8518446699459,176.449672698975,163.360517501831,153.35018157959,41.5781558152929,-12.8139766511463,-21.7930789220901,-6.77043726840625,-11.7702703825387,"","Canada","8030009560","Mackenzie","ICESat2",58.6410064697266,-111.385398864746,8020008900,441,NA,"Canada","North America","CanVec",1,0,145.6,140.36,3.28,264.67,0,3,1.8,46.948,65.2,207,0.4,21962.4,-111.385402,58.641007
455,5,32,"1993","2024",7,1431.04983843051,1416.95784703697,1359.29406738281,192.826303960735,1430.42946079799,1375.32104492188,1375.32104492188,144.466593670656,-0.62037763252215,-41.6368021150915,-0.0433512248044793,-2.93846441530771,"","Canada","7030021430","Northwest Territories","ICESat2",57.309871673584,-97.1609878540039,7020021430,455,NA,"Canada","North America","CanVec",1,0,123.92,452.94,11.48,1314.58,0,3,10.6,562.461,27.1,234,1.94,275223.9,-97.160986,57.309872
467,5,32,"1993","2024",8,4622.76586740913,4644.41150335217,4656.3515625,110.099348127999,4292.58813476562,4236.03125,4236.03125,159.967026962238,-330.177732643506,-408.380253352172,-7.14242819372024,-8.79293863296604,"Wasekamio and Turnor","Canada","7030021430","Northwest Territories","ICESat2",56.6145820617676,-108.422149658203,7020021430,467,"Wasekamio and Turnor","Canada","North America","CanVec",1,0,368.98,593.74,8.72,4734.14,0,3,12.8,4.113,13322,420,1.78,2952.3,-108.422146,56.614583
474,4,32,"1993","2024",4,2227.12496547506,2236.4443137429,2242.73852539062,93.1268513053722,2303.12994384766,2315.56127929688,2315.56127929688,24.8626708984375,76.0049783725931,79.1169655539775,3.4126948218364,3.53762287161838,"Castignon","Canada","7030027430","Hudson Bay Coast","ICESat2",56.4199485778809,-68.5736465454102,7020024600,474,"Castignon","Canada","North America","CanVec",1,0,157.78,322.03,7.23,2296.29,0,3,14.6,140.191,189.6,189,2.41,8684.5,-68.573648,56.419947
482,5,32,"1993","2024",5,5835.0211757115,5880.45378069196,5917.724609375,319.437370978149,5894.8515625,5854.64208984375,5854.64208984375,89.911114198794,59.8303867885043,-25.8116908482143,1.02536708928411,-0.438940459543532,"","Canada","7030021430","Northwest Territories","ICESat2",56.1527824401855,-108.204811096191,7020021430,482,NA,"Canada","North America","CanVec",1,0,426.86,1191.87,16.27,6468.14,0,3,15.2,7.94,9428.6,415,1.98,5826.6,-108.204811,56.152784
486,5,32,"1993","2024",7,1331.92030100579,1355.96760414291,1355.43383789062,108.993246571499,1329.29436383929,1382.10177176339,1394.30615234375,129.152477252583,-2.62593716650235,26.1341676204868,-0.197154226459301,1.92734454279281,"","Canada","7030022240","Saskatchewan - Nelson","ICESat2",56.0387268066406,-96.5343780517578,7020021430,486,NA,"Canada","North America","Other",2,707,126.07,431.85,10.85,1850,1850,2,14.7,2191.193,9.8,184,2.14,948695.6,-96.534375,56.038725
492,4,32,"1993","2024",4,3233.58393071772,3276.74204799107,3294.33129882812,170.701061871718,2920.45983886719,2518.86865234375,2920.45983886719,463.717559286976,-313.124091850532,-757.873395647322,-9.68349975010644,-23.1288696072968,"","Canada","7030029460","Atlantic Ocean Seaboard","ICESat2",55.944206237793,-63.0989875793457,7020024600,492,NA,"Canada","North America","CanVec",1,0,146.68,108.18,2.52,3305.75,0,3,22.5,27.604,1386.1,331,3.59,1438.6,-63.098986,55.944205
502,5,32,"1993","2024",10,1677.42774282602,1686.53811786358,1695.39105224609,71.200385943951,1602.47340087891,1575.12652587891,1575.12652587891,168.374833708667,-74.9543419471154,-111.411591984675,-4.46840957935018,-6.60593382412286,"","Canada","7030022240","Saskatchewan - Nelson","ICESat2",55.7292633056641,-97.0365600585938,7020021430,502,NA,"Canada","North America","CanVec",1,0,117.5,440.88,11.47,1720.2,0,3,14.6,54.067,368.2,180,2.6,15246.3,-97.03656,55.729263
