"lat","sign","mean_anomaly","sd_anomaly","sum_anomaly","latitude"
"13","Negative",-0.822408554040187,0.584575811399518,-4.11204277020094,13
"13","Positive",2.6754666792261,1.3428542999221,32.1056001507132,13
"14","Negative",-1.45355187097646,0.936279339312528,-7.2677593548823,14
"14","Positive",2.06848100353596,1.03288222715325,8.27392401414383,14
"15","Negative",-0.210133326076299,NA,-0.210133326076299,15
"15","Positive",1.77204931053911,1.02657514545267,5.31614793161732,15
"16","Negative",-0.843479947600861,0.41245107416438,-1.68695989520172,16
"16","Positive",2.41973527160661,1.30132943344133,19.3578821728529,16
"17","Negative",-1.42801601922185,0.800860470240652,-5.7120640768874,17
"17","Positive",1.51075118857528,0.797432804860072,9.06450713145166,17
"18","Negative",-2.02338868832477,1.89241159935808,-28.3274416365468,18
"18","Positive",1.61893561106933,1.12238923986931,19.4272273328319,18
