"site_no","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly_volume","level_anomaly_volume_smooth","level_anomaly_percent","level_anomaly_percent_smooth","latitude","longitude","Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"004773",240.515096153846,240.489831730769,240.775,2.98636669128701,244.7665625,244.7034375,244.68,0.779882577493188,4.25146634615385,4.21360576923078,1.76765051929813,1.75209310884626,21.09,-280.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4020024190
"004783",408.355167286245,408.276059479554,408.09,3.14882196497698,410.155714285714,410.228571428571,411.105,2.53924519051748,1.80054699946891,1.95251194901749,0.440926708834022,0.478233269789671,16.73,-282.23,178708,NA,"India","Asia","GRanD",2,4984,7.15,19.47,2.05,64.6,64.6,2,9,9.73,76.8,402,2.29,1679.5,77.774592,16.711539,178708,4020024190
"004818",904.087346153846,904.013076923077,903.745,0.868807083558107,903.842173913043,903.72652173913,903.69,0.534925283837422,-0.245172240802731,-0.286555183946462,-0.0271182028866722,-0.0316981237618584,-29.43,-337.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020011530
"004914",18.4118132854578,18.4153859964093,18.46,0.611551377544958,18.007037037037,18.0162962962963,18.26,0.784071301775423,-0.404776248420774,-0.399089700113038,-2.1984594463625,-2.16715359749099,16.55,-279.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4020024190
"004945",575.863333333333,575.830949367089,576.035,2.69656124818013,573.284090909091,573.216818181818,572.915,1.10694198708449,-2.57924242424247,-2.61413118527037,-0.447891413629819,-0.453975457231611,64.33,-18.82,12001,"Thorisvatn","Iceland","Europe","Other",2,2551,78.38,93.4,2.98,1180,1180,2,15.1,17.332,788,553,8.99,288.2,-18.796099,64.345985,12001,2020057170
"004958",477.916126126126,477.917184684685,478.09,0.486000717463027,477.876176470588,477.900588235294,477.99,0.372835284988721,-0.039949655537896,-0.0165964493905904,-0.0083591352862935,-0.00347266219387783,23.3,-278.97,15544,NA,"India","Asia","SWBD",1,0,15.03,42.77,3.11,91.25,0,3,6.1,26.478,39.9,476,2.13,1580.3,81.031219,23.322887,15544,4020024190
"004990",101.610403587444,101.613632286996,101.585,2.74016850435457,102.4678125,102.25,102.535,2.39730188979328,0.857408912556053,0.636367713004489,0.843820004925169,0.626262144834214,19.56,-286.74,15641,NA,"India","Asia","SWBD",1,0,13.63,36.53,2.79,135.89,0,3,10,9.345,168.3,93,3.34,136.5,73.257369,19.556989,15641,4020024190
"005015",1.6898682284041,1.68380673499268,1.69,0.352081552429168,1.85485714285714,1.84742857142857,1.89,0.326725027657018,0.164988914453043,0.163621836435892,9.76341892698093,9.71737629001725,45.42,-330.98,14209,NA,"Ukraine","Europe","SWBD",1,0,59.54,79.84,2.92,297.98,0,3,5,2.706,1274.5,-1,1.34,1275.9,28.985939,45.399743,14209,2020003440
"005044",2250.75242038217,2250.75410828025,2250.715,0.608070221766537,2249.42,2249.41966666667,2249.42,0.236059606733196,-1.33242038216531,-1.3344416135883,-0.0591988870077088,-0.0592886450225303,39.74,-316.44,14583,NA,"Turkey","Asia","SWBD",1,0,32.62,31.55,1.56,1138.92,0,3,34.9,0.169,77999.7,2251,8.25,111,43.584375,39.740126,14583,2020065840
"005045",267.803061797753,267.772078651685,267.815,0.749311726703856,267.942413793103,267.818965517241,267.95,0.892258991758777,0.139351995350637,0.0468868655560186,0.0520352509845003,0.0175099905083862,14.05,-0.180000000000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020021940
"005052",1559.00210355987,1559.03825242718,1559.06,2.02179434632974,1566.37382352941,1566.36058823529,1566.4,0.375911133162663,7.37171996954112,7.32233580810953,0.472848622378913,0.469670054388324,-4.57,-325.06,16032,NA,"United Republic of Tanzania","Africa","SWBD",1,0,11.68,28.48,2.35,56.85,0,3,4.9,1.405,468.3,1557,1.85,702,34.952083,-4.55625,16032,1020000010
