"site_no","Hylak_id","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly","level_anomaly_smooth","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"000221",103,30.130740354536,30.1335870698644,30.1,0.404461257113102,30.2172972972973,30.2178378378378,30.22,0.334262443869157,0.0865569427613231,0.0842507679733941,"Peipsi","Russia","Europe","SWBD",1,0,3489,732.11,3.5,25070,0,1,7.2,337.098,860.8,28,-1,47673.7,27.73114,58.985292,103,2020024230
"000222",58,259.799851380042,259.814416135881,259.82,0.328912450023163,259.561176470588,259.57,259.56,0.303801816439623,-0.238674909454232,-0.244416135881124,"Nipigon","Canada","North America","CanVec",3,1402,4505.95,2293.45,9.64,247827.3,12360,1,55,356.846,8038.1,258,-1,24626.2,-88.309371,49.307873,58,7020024600
"000223",107,100.728479355488,100.730322255791,100.86,1.04757477398201,100.404285714286,100.396285714286,99.94,1.13030262921637,-0.324193641202712,-0.33403654150483,"Rybinsk Reservoir","Russia","Europe","SWBD",2,4360,4042.34,1924.4,8.54,25400,25400,2,6.3,993.57,295.9,97,-1,150073.6,38.702039,58.102088,107,2020065840
"000224",134,69.6850708833152,69.7308069792803,69.73,0.850822566537757,70.5323529411765,70.5988235294118,70.755,0.456316336471182,0.847282057861307,0.8680165501315,"Khanka","Russia","Europe","SWBD",1,0,4118.84,372.31,1.64,18100,0,1,4.4,90.349,2318.7,64,-1,17049.4,132.842228,45.053456,134,4020000010
"000231",1179,110.228405797101,110.230197628458,110.19,0.425178173135617,110.855161290323,110.870322580645,110.91,0.200081166325768,0.62675549322114,0.640124952186667,"Saitlan","Russia","Europe","SWBD",1,0,226.52,77.2,1.45,771.44,0,3,3.4,4.469,1997.9,103,0.63,2602,78.564583,54.972917,1179,3020000010
"000232",114,107.137980652963,107.118089480048,107.08,0.511074839089798,107.414571428571,107.374857142857,107.43,0.2972060372392,0.276590775608923,0.25676766280877,"Chany","Russia","Europe","Other",1,0,1966.57,1243.38,7.91,4130,0,1,2.1,47.674,1002.7,101,-1,25548.3,76.885417,54.797917,114,3020000010
"000234",1254,350.467947494033,350.476121718377,350.5,0.386039024790984,350.65696969697,350.674848484848,350.68,0.167658224680535,0.189022202936314,0.198726766471395,"Sasykkol","Kazakhstan","Asia","SWBD",1,0,744.83,200.82,2.08,2400,0,1,3.2,25.342,1096.1,348,-1,19020.6,81.229451,46.577135,1254,4020050220
"000236",38,335.917042682927,335.929603658537,336.12,0.643590745756743,335.216857142857,335.225142857143,335.25,0.316225640108743,-0.700185540069697,-0.70446080139368,"Reindeer","Canada","North America","Other",3,706,5435.48,9267.45,35.46,92403.16,14860,1,17,355.998,3004.2,335,-1,62727.5,-103.149606,56.234185,38,7020021430
"000244",26,234.175405701754,234.191940789474,234.3,0.693712589513843,234.727777777778,234.733055555556,234.81,0.424224409017619,0.552372076023403,0.541114766081876,"Dubawnt","Canada","North America","CanVec",1,0,3583.21,2557.78,12.05,91327.16,0,1,25.5,290.868,3634,218,-1,54612.5,-100.699367,63.570114,26,8020010700
"000252",51,255.475806805708,255.496487376509,255.75,0.871021493280062,256.067142857143,256.088,256.13,0.276677465956424,0.591336051434865,0.591512623490701,"Cedar","Canada","North America","Other",2,712,2504.26,1897.91,10.7,9643.5,9643.5,2,3.9,594.272,187.8,253,-1,331739,-99.289952,53.160069,51,7020021430
