"lon","sign","mean_anomaly","sd_anomaly","sum_anomaly","longitude"
"-62","Positive",1.20760457450168,1.3108217421472,7.24562744701009,-62
"-61","Negative",-1.93069106840164,1.34019211078053,-23.1682928208197,-61
"-61","Positive",1.58253750298556,1.47792136431128,25.320600047769,-61
"-60","Negative",-1.43386325504925,1.42106475531492,-30.1111283560343,-60
"-60","Positive",0.615288954457965,0.602719357169494,3.07644477228983,-60
"-59","Negative",-1.82727340233727,1.27747364504131,-18.2727340233727,-59
"-59","Positive",0.236728956609248,NA,0.236728956609248,-59
"-58","Negative",-1.94232916835538,1.57536553792428,-38.8465833671076,-58
"-58","Positive",1.18178249525673,1.2578271182046,17.726737428851,-58
"-57","Negative",-1.43179409784406,1.30507595819433,-38.6584406417897,-57
"-57","Positive",1.15280577029429,1.0710213898548,13.8336692435314,-57
"-56","Negative",-2.49703625269526,1.37632605183039,-7.49110875808579,-56
"-56","Positive",0.926779041889245,0.553802894250288,1.85355808377849,-56
"-55","Negative",-2.93917063822786,1.1213191368839,-8.81751191468359,-55
"-55","Positive",0.833841761144308,NA,0.833841761144308,-55
"-54","Negative",-0.784072327887574,1.02814879983727,-1.56814465577515,-54
"-54","Positive",1.24666817293884,1.46648092365817,2.49333634587767,-54
"-53","Positive",0.0904674460922479,NA,0.0904674460922479,-53
"-51","Negative",-0.502442965886718,0.279223067067668,-1.00488593177344,-51
"-49","Negative",-0.220824316830944,NA,-0.220824316830944,-49
"-48","Positive",2.87009806611222,NA,2.87009806611222,-48
"-47","Negative",-2.77882374745673,1.45860663860666,-5.55764749491347,-47
"-47","Positive",2.97484419812185,NA,2.97484419812185,-47
"-46","Positive",0.150134256383879,NA,0.150134256383879,-46
"-45","Negative",-0.143777544614252,NA,-0.143777544614252,-45
"-44","Negative",-1.58083400352371,NA,-1.58083400352371,-44
"-43","Negative",-1.67046365737915,NA,-1.67046365737915,-43
"-43","Positive",0.261137811149038,NA,0.261137811149038,-43
"-42","Positive",1.61396341397594,NA,1.61396341397594,-42
"-41","Positive",1.06850281248443,NA,1.06850281248443,-41
"-40","Positive",3.00671238365818,2.76961081404666,6.01342476731636,-40
"-39","Negative",-3.84927839577089,NA,-3.84927839577089,-39
"-39","Positive",0.274191887138863,NA,0.274191887138863,-39
"-38","Negative",-1.69113478385355,1.83984462478204,-3.3822695677071,-38
"-38","Positive",0.162577026769223,NA,0.162577026769223,-38
"-37","Negative",-1.30899647591538,0.914317090570627,-2.61799295183077,-37
"-37","Positive",3.47187393935618,NA,3.47187393935618,-37
"-16","Positive",4.44072589292585,NA,4.44072589292585,-16
"-9","Negative",-0.530661250495426,NA,-0.530661250495426,-9
"-8","Negative",-1.46894490173784,NA,-1.46894490173784,-8
"-8","Positive",0.399778096906599,0.202632784397543,0.799556193813199,-8
"-7","Negative",-4.20870174811362,0.580112133174758,-8.41740349622723,-7
"-6","Negative",-1.85461036862891,1.42297279002685,-5.56383110588672,-6
"-6","Positive",1.79281082702986,1.20864867289494,5.37843248108959,-6
"-5","Negative",-4.0235060435075,NA,-4.0235060435075,-5
"-5","Positive",4.13788634838603,0.490493531423105,12.4136590451581,-5
"-4","Negative",-1.84503638064605,1.18771412742101,-7.38014552258422,-4
"-4","Positive",3.12019293268196,1.34994825758749,18.7211575960917,-4
"-3","Negative",-1.88622337220083,2.19782302945496,-5.65867011660248,-3
"-3","Positive",2.16548799658228,1.03278982101992,19.4893919692405,-3
"-2","Negative",-1.64117146239884,0.338154520549384,-3.28234292479767,-2
"-2","Positive",0.651645662055926,0.736139963850239,1.30329132411185,-2
"-1","Positive",1.46122928832604,1.62035821723893,7.3061464416302,-1
"0","Negative",-1.28314704259237,NA,-1.28314704259237,0
"0","Positive",4.15811726080446,0.968134571238091,8.31623452160893,0
"4","Negative",-3.17323515150282,NA,-3.17323515150282,4
"6","Positive",2.20078609209863,0.655082115306042,4.40157218419726,6
"7","Negative",-3.00180425471599,2.0697097923276,-12.007217018864,7
"7","Positive",3.33600963718114,0.165803359268457,6.67201927436229,7
"8","Positive",1.67386354552046,2.3148813709009,5.02159063656137,8
"9","Positive",2.22408286076077,1.28693974146837,8.89633144304306,9
"10","Negative",-0.782576769674593,NA,-0.782576769674593,10
"10","Positive",0.371695320561244,NA,0.371695320561244,10
"11","Positive",1.38889814593229,1.76371409137877,4.16669443779688,11
"12","Positive",0.223470999101473,0.00349023626200582,0.446941998202947,12
"13","Negative",-3.51319192662651,1.50912277468203,-7.02638385325302,13
"13","Positive",1.487639542034,0.586175918405844,2.97527908406801,13
"14","Negative",-0.2063814709444,NA,-0.2063814709444,14
"14","Positive",1.42329422165366,NA,1.42329422165366,14
"15","Negative",-0.864806062325992,0.815468740135071,-2.59441818697797,15
"16","Positive",0.782438363130908,0.0290233996488505,1.56487672626182,16
"17","Negative",-0.703883760188903,0.730383917685641,-3.51941880094451,17
"17","Positive",1.69120173376137,1.44422157615656,5.07360520128411,17
"18","Negative",-0.729245009151129,0.241985202562323,-1.45849001830226,18
"18","Positive",0.767976740646712,0.237077952489273,1.53595348129342,18
"19","Negative",-0.184578374234213,NA,-0.184578374234213,19
"19","Positive",3.31272614448214,1.43860753922028,13.2509045779286,19
"20","Negative",-1.69746732040382,2.30689347704039,-3.39493464080764,20
"20","Positive",3.48332550287694,NA,3.48332550287694,20
"21","Negative",-4.04889106093747,NA,-4.04889106093747,21
"21","Positive",1.27187492758309,0.95889258147457,6.35937463791545,21
"22","Negative",-2.02453358980183,1.869477594793,-4.04906717960367,22
"22","Positive",2.01206501428505,1.98459337546454,8.0482600571402,22
"23","Negative",-1.28092319529322,1.06839392321916,-5.1236927811729,23
"23","Positive",1.60834064416572,2.16302684931392,3.21668128833145,23
"24","Positive",3.43933583847777,NA,3.43933583847777,24
"25","Negative",-2.03518497250929,0.959919685712441,-10.1759248625465,25
"25","Positive",1.14504661757951,1.25668387071685,6.87027970547707,25
"26","Negative",-1.14619787070369,1.75394794623462,-4.58479148281476,26
"26","Positive",1.81708913390467,1.51894563016073,16.353802205142,26
"27","Negative",-1.33840790296867,0.943295538546951,-10.7072632237494,27
"27","Positive",1.43933307487224,1.20044250792158,21.5899961230837,27
"28","Negative",-1.79076963571278,1.53126724373343,-10.7446178142767,28
"28","Positive",0.9212917109572,0.974576878380954,1.8425834219144,28
"29","Negative",-1.55033412497953,1.53135866175303,-7.75167062489766,29
"29","Positive",2.68281668605945,0.983931066147993,5.36563337211891,29
"30","Negative",-3.04816390117047,1.59951670773392,-24.3853112093637,30
"30","Positive",1.9797789795975,1.3962657757301,19.797789795975,30
"31","Negative",-1.40646438107312,0.0613884976059409,-2.81292876214625,31
"31","Positive",0.799751614500168,1.15706381724679,3.99875807250084,31
"32","Negative",-1.84566030134187,1.19624674784428,-7.38264120536748,32
"32","Positive",1.11406569603162,NA,1.11406569603162,32
"33","Positive",1.54259664048283,1.26996581389843,15.4259664048283,33
"34","Negative",-2.10087032366314,2.47748313406877,-4.20174064732629,34
"34","Positive",2.19044158196097,1.53253479685374,13.1426494917658,34
"35","Negative",-0.0599497308667072,NA,-0.0599497308667072,35
"35","Positive",3.60722601373844,1.86802495700651,7.21445202747689,35
"36","Negative",-2.30018170108989,1.40898582356468,-4.60036340217978,36
"37","Negative",-0.130509725583145,NA,-0.130509725583145,37
"37","Positive",2.1826190070546,1.85329866237206,6.54785702116379,37
"38","Negative",-1.10028769384447,1.00702512234965,-3.30086308153342,38
"38","Positive",1.77763231514922,1.04307731067953,3.55526463029843,38
"39","Negative",-1.13566313895074,0.903564597775759,-2.27132627790147,39
"39","Positive",1.13148378036047,0.768030266347053,3.3944513410814,39
"40","Negative",-2.83314459693843,NA,-2.83314459693843,40
"41","Positive",0.379854114992278,NA,0.379854114992278,41
"42","Negative",-1.05685909399142,NA,-1.05685909399142,42
"42","Positive",3.45465309032494,NA,3.45465309032494,42
"43","Positive",0.189203528718579,NA,0.189203528718579,43
"44","Negative",-2.72725122241881,0.579698618607355,-5.45450244483763,44
"44","Positive",0.800264517466228,NA,0.800264517466228,44
"45","Negative",-1.23578930446485,NA,-1.23578930446485,45
"46","Negative",-1.12226409111401,1.07986051688793,-3.36679227334204,46
"46","Positive",0.549480478229136,0.491447754458928,2.19792191291655,46
"47","Negative",-1.01341962565494,0.688006515883299,-5.0670981282747,47
"47","Positive",1.08005337241915,0.865972987723665,5.40026686209577,47
"48","Negative",-1.27255834919539,1.75020789823323,-3.81767504758617,48
"48","Positive",0.817740405981978,0.732396803491978,4.08870202990989,48
"49","Negative",-0.252523892468121,NA,-0.252523892468121,49
"49","Positive",0.468967787621014,0.607207705542028,1.40690336286304,49
"50","Positive",1.53441432295519,NA,1.53441432295519,50
"51","Positive",1.22996700639966,NA,1.22996700639966,51
"52","Positive",1.11847055794697,NA,1.11847055794697,52
"53","Negative",-1.11801909588155,NA,-1.11801909588155,53
"53","Positive",3.32321715767881,NA,3.32321715767881,53
"54","Negative",-2.60583519373786,NA,-2.60583519373786,54
"55","Negative",-3.86288948419193,NA,-3.86288948419193,55
"56","Positive",0.192809543094119,NA,0.192809543094119,56
"58","Positive",0.16514438298195,NA,0.16514438298195,58
