"year","ID","obs_count","mean_annual_storage","sd_annual_storage"
"1984",15943,4,686.836837768555,22.3107799763624
"1984",15950,3,90.6999367872874,82.8859913862716
"1984",16412,2,1255.21826171875,2.79113829058206
"1984",41311,2,60.4450569152832,4.06443976551777
"1984",117481,3,9.69317007064819,1.80506149008891
"1984",120872,1,98.9815826416016,NA
"1984",171421,3,22.3366451263428,4.66221926379921
"1984",180536,3,4.93873159090678,4.74688006397562
"1984",180837,3,21.4755552609762,15.6145604686496
"1985",270,3,9913.87337239583,307.622088434938
"1985",273,2,8910.89892578125,748.973165011312
"1985",628,5,79422.9,4844.37312098743
"1985",629,6,488.616022745768,9.11781678355891
"1985",717,3,2752.4716796875,70.3203377983761
"1985",723,7,1643.49398367746,409.845180868466
"1985",724,7,27455.1849888393,1584.7271893065
"1985",776,7,5095.10288783482,49.3023501320231
"1985",778,5,10466.2796875,27.9979119680326
"1985",823,5,3630.64716796875,357.261250290295
"1985",839,6,8688.25911458333,743.70204554276
"1985",855,3,1037.94974772135,39.4508687660877
"1985",857,2,257.295738220215,33.9346193722434
"1985",860,1,2185.40209960938,NA
"1985",870,1,7603.10302734375,NA
"1985",879,2,857.136444091797,35.2592253629344
"1985",884,4,1409.58438110352,38.0416746851172
"1985",891,4,3546.78820800781,155.802753519881
"1985",902,1,4179.32470703125,NA
"1985",903,4,15846.7863769531,410.048244523987
"1985",904,6,3113.93127441406,195.569708846473
"1985",914,8,7428.92138671875,555.706602443764
"1985",916,2,211.238098144531,5.55029622686362
"1985",929,9,13493.5863715278,806.611019015
"1985",930,10,10078.1799804688,944.829706375269
"1985",932,6,187.083600362142,8.98487827155807
"1985",939,8,7196.86791992188,232.932114698225
"1985",954,5,7094.06064453125,231.499174924878
"1985",957,7,1381.6991141183,51.266966423109
"1985",960,10,3059.7365234375,87.2088842259744
"1985",994,2,11784.6376953125,8.27950225236983
"1985",1082,4,3124.25939941406,15.6106840576934
"1985",1112,3,2355.20426432292,9.97088322291557
"1985",1186,3,1872.14306640625,90.9067782667481
"1985",1204,1,5788.8955078125,NA
"1985",1227,7,1189.85170200893,435.117103105859
"1985",1234,4,349.695807397366,532.876666955866
"1985",1253,1,3667.6669921875,NA
"1985",1259,3,1437.64013671875,17.4196608470697
"1985",1289,1,2376.28564453125,NA
"1985",1337,1,1165.7275390625,NA
"1985",1360,2,264.108245849609,219.61560989577
"1985",1407,2,627.920318603516,2.06922818749933
"1985",1540,1,0.224119886755943,NA
"1985",1543,5,1023.05571289063,280.695753008847
"1985",1546,3,461.558359781901,24.5767282806768
"1985",1562,2,5643.21948242188,126.945347441016
"1985",1591,1,1865.75915527344,NA
"1985",1605,1,496.733245849609,NA
"1985",4616,1,1104.5068359375,NA
"1985",8866,6,13.9578816095988,1.47984655661391
"1985",8978,5,1045.84069824219,93.0750597062753
"1985",9360,7,1669.9979422433,34.7986815796413
"1985",9739,1,964.833679199219,NA
"1985",9819,2,335.875991821289,0.305367067278163
"1985",9864,2,1007.07476806641,21.0822609322932
"1985",10085,4,567.128677368164,50.2674741856289
